gauge_id,date,observed,caudal
9127001,2001-07-01,496.0,103.0
4703002,2001-07-02,3.0,3.47
7330001,2001-07-02,30.0,288.0
9127001,2001-07-02,0.0,98.3
4703002,2001-07-03,1.0,3.52
7330001,2001-07-03,280.0,775.0
9127001,2001-07-03,244.0,165.0
4703002,2001-07-04,0.0,3.43
7330001,2001-07-04,568.0,417.0
9127001,2001-07-04,189.0,145.0
4703002,2001-07-05,5.0,3.36
7330001,2001-07-05,60.0,197.0
9127001,2001-07-05,2.0,99.1
4703002,2001-07-06,4.0,3.32
7330001,2001-07-06,17.0,129.0
9127001,2001-07-06,4.0,80.6
4703002,2001-07-07,0.0,3.38
7330001,2001-07-07,48.0,97.5
9127001,2001-07-07,27.0,77.4
4703002,2001-07-08,0.0,3.5
7330001,2001-07-08,238.0,196.0
9127001,2001-07-08,137.0,101.0
4703002,2001-07-09,39.0,3.5
7330001,2001-07-09,287.0,139.0
9127001,2001-07-09,210.0,93.3
4703002,2001-07-10,8.0,3.72
7330001,2001-07-10,2.0,102.0
9127001,2001-07-10,0.0,81.5
4703002,2001-07-11,20.0,3.44
7330001,2001-07-11,0.0,83.1
9127001,2001-07-11,0.0,72.0
4703002,2001-07-12,1.0,3.59
7330001,2001-07-12,49.0,143.0
9127001,2001-07-12,155.0,77.9
4703002,2001-07-13,24.0,3.49
7330001,2001-07-13,358.0,359.0
9127001,2001-07-13,112.0,93.8
4703002,2001-07-14,3.0,3.51
7330001,2001-07-14,339.0,189.0
9127001,2001-07-14,32.0,95.2
4703002,2001-07-15,3.0,3.5
7330001,2001-07-15,9.0,125.0
9127001,2001-07-15,29.0,81.2
4703002,2001-07-16,1.0,3.41
7330001,2001-07-16,100.0,154.0
9127001,2001-07-16,312.0,90.3
4703002,2001-07-17,2.0,3.78
7330001,2001-07-17,645.0,291.0
9127001,2001-07-17,357.0,110.0
4703002,2001-07-18,30.0,4.32
7330001,2001-07-18,385.0,360.0
9127001,2001-07-18,119.0,113.0
4703002,2001-07-19,28.0,22.8
